"training_load" "performance" "Day"
"192" 192.503185989735 NA 191
"193" 35.7630483446833 NA 192
"194" 133.434949479401 NA 193
"195" 37.2329520315343 NA 194
"196" 78.3121309071755 NA 195
"197" 47.6416189883863 NA 196
"198" 0 NA 197
"199" 82.4789505097236 NA 198
"200" 52.5269485540787 NA 199
"201" 123.669946784947 NA 200
"202" 48.7979609651678 NA 201
"203" 80.12576966003 NA 202
"204" 121.149998038898 NA 203
"205" 0 NA 204
"206" 109.455202110998 NA 205
"207" 0 NA 206
"208" 37.9642300189026 NA 207
"209" 0 1069 208
"210" 0 1080 209
"211" 0 NA 210
"212" 0 NA 211
"213" 84.9682753520836 NA 212
"214" 14.8974084441163 NA 213
"215" 71.7750957769887 NA 214
"216" 118.636716831742 NA 215
"217" 8.767019952557 NA 216
"218" 60.8918102462539 NA 217
"219" 0 NA 218
"220" 130.885451847036 NA 219
"221" 37.8362504872135 NA 220
"222" 0 NA 221
"223" 0 NA 222
"224" 0 NA 223
"225" 0 NA 224
"226" 0 NA 225
"227" 37.90596882061 NA 226
"228" 14.1674992961265 NA 227
"229" 9.08977241133904 1087 228
"230" 0 NA 229
"231" 102.108803061472 NA 230
"232" 95.7848126089958 NA 231
"233" 0 NA 232
"234" 132.638986485362 NA 233
"235" 0 NA 234
"236" 54.374591048595 NA 235
"237" 72.6788595258625 NA 236
"238" 0 NA 237
"239" 41.4841832571897 NA 238
"240" 0 NA 239
"241" 73.9238002398168 NA 240
"242" 0 NA 241
"243" 39.1211512775272 NA 242
"244" 66.0099241690682 NA 243
"245" 20.8476495137731 NA 244
"246" 25.8475326075413 NA 245
"247" 0 NA 246
"248" 84.4866525805276 NA 247
"249" 27.9061750946496 NA 248
"250" 27.2704319563712 1074 249
"251" 10.1883160919685 NA 250
"252" 0 NA 251
"253" 0 NA 252
"254" 0 NA 253
"255" 56.90034821627 NA 254
"256" 0 NA 255
"257" 0 NA 256
"258" 0 1088 257
"259" 0 NA 258
"260" 62.3848651871991 NA 259
"261" 0 NA 260
"262" 89.1570289917281 NA 261
"263" 0 NA 262
"264" 23.0512840879706 NA 263
"265" 41.2772575256083 NA 264
"266" 37.1526696350449 NA 265
"267" 61.2817265297208 NA 266
"268" 0 NA 267
"269" 21.7654781206825 NA 268
"270" 0 1070 269
"271" 0 NA 270
"272" 0 NA 271
"273" 47.9358702293826 NA 272
"274" 0 NA 273
"275" 0 NA 274
"276" 0 NA 275
"277" 0 NA 276
"278" 0 NA 277
"279" 0 NA 278
"280" 0 NA 279
"281" 0 NA 280
"282" 0 NA 281
"283" 0 NA 282
"284" 15.1248173385981 NA 283
"285" 65.2235057477793 NA 284
"286" 0 NA 285
"287" 0 1063 286
"288" 0 NA 287
"289" 0 NA 288
"290" 0 NA 289
"291" 0 1079 290
"292" 0 NA 291
"293" 0 NA 292
"294" 0 NA 293
"295" 0 NA 294
"296" 0 NA 295
"297" 0 NA 296
"298" 0 NA 297
"299" 0 NA 298
"300" 0 NA 299
"301" 0 1018 300
"302" 0 NA 301
"303" 0 NA 302
"304" 0 NA 303
"305" 0 NA 304
"306" 0 NA 305
"307" 0 NA 306
"308" 0 NA 307
"309" 0 NA 308
"310" 0 NA 309
"311" 0 1109 310
"312" 0 NA 311
"313" 0 NA 312
"314" 0 NA 313
"315" 0 NA 314
"316" 0 NA 315
"317" 0 NA 316
"318" 0 NA 317
"319" 0 NA 318
"320" 0 NA 319
"321" 0 NA 320
"322" 0 NA 321
"323" 0 NA 322
"324" 0 NA 323
"325" 0 NA 324
"326" 0 NA 325
"327" 0 NA 326
"328" 0 NA 327
"329" 0 NA 328
"330" 0 NA 329
"331" 0 NA 330
"332" 0 NA 331
"333" 0 NA 332
"334" 0 NA 333
"335" 0 NA 334
"336" 0 NA 335
"337" 0 NA 336
"338" 0 NA 337
"339" 0 NA 338
"340" 0 NA 339
"341" 0 NA 340
"342" 0 NA 341
"343" 0 NA 342
"344" 0 NA 343
"345" 0 NA 344
"346" 0 NA 345
"347" 0 NA 346
"348" 0 NA 347
"349" 0 NA 348
"350" 0 NA 349
"351" 0 NA 350
"352" 0 NA 351
"353" 0 NA 352
"354" 0 NA 353
"355" 0 NA 354
"356" 98.2569935667323 NA 355
"357" 0 NA 356
"358" 0 NA 357
"359" 0 NA 358
"360" 133.200108574494 NA 359
"361" 10.5253145622521 NA 360
"362" 0 NA 361
"363" 102.780216767639 NA 362
"364" 0 NA 363
"365" 0 NA 364
